t	#	1
v	104	134	-1
v	104	140	-1
v	105	176	-1
v	105	180	-1
v	123	310	-1
v	130	182	-1
v	144	141	-1
v	144	146	-1
v	149	326	-1
v	150	149	-1
v	150	326	-1
v	170	306	-1
v	172	56	-1
v	173	108	-1
v	178	228	-1
v	178	232	-1
v	178	236	-1
v	179	267	-1
v	179	297	-1
v	183	185	-1
v	184	54	-1
v	184	106	-1
v	202	255	-1
v	203	239	-1
v	218	65	-1
v	230	146	-1
v	230	148	-1
v	230	177	-1
v	243	126	-1
v	263	26	-1
v	263	122	-1
v	263	311	-1
v	265	69	-1
v	265	107	-1
v	265	194	-1
v	266	65	-1
v	266	88	-1
v	266	152	-1
v	266	297	-1
v	269	80	-1
v	272	103	-1
v	272	262	-1
v	272	285	-1
v	272	310	-1
v	274	36	-1
v	274	63	-1
v	274	83	-1
v	274	203	-1
v	275	28	-1
v	275	54	-1
v	275	105	-1
v	275	106	-1
v	275	153	-1
v	276	69	-1
v	276	107	-1
v	278	182	-1
v	278	310	-1
v	279	210	-1
v	280	324	-1
v	281	144	-1
v	283	263	-1
v	283	311	-1
v	285	94	-1
v	285	159	-1
v	287	170	-1
v	290	157	-1
v	290	163	-1
v	290	252	-1
v	290	260	-1
v	291	67	-1
v	291	106	-1
v	291	152	-1
v	291	153	-1
v	291	154	-1
v	291	159	-1
v	291	167	-1
v	291	216	-1
v	291	317	-1
v	292	233	-1
v	293	169	-1
v	293	213	-1
v	295	228	-1
v	295	232	-1
v	295	236	-1
v	296	25	-1
v	296	69	-1
v	297	122	-1
v	297	127	-1
v	301	68	-1
v	302	251	-1
v	303	180	-1
v	305	228	-1
v	305	232	-1
v	305	236	-1
v	309	161	-1
v	312	315	-1
v	313	315	-1
v	314	315	-1
v	318	51	-1
v	319	135	-1
v	323	109	-1
v	323	133	-1
v	325	149	-1
v	325	326	-1
v	326	324	-1
v	329	36	-1
v	329	63	-1
v	329	97	-1
v	329	114	-1
v	330	137	-1
v	331	66	-1
